2025-04-29 12:17:54,890 - INFO - Twitter already set for Danny K. Davis: RepDannyDavis, skipping
2025-04-29 12:17:54,891 - INFO - Twitter already set for Sam Graves: RepSamGraves, skipping
2025-04-29 12:17:54,891 - INFO - Twitter already set for Tammy Baldwin: SenatorBaldwin, skipping
2025-04-29 12:17:54,892 - INFO - Twitter already set for Roger Williams: RepRWilliams, skipping
2025-04-29 12:17:54,892 - INFO - Twitter already set for Tammy Duckworth: SenDuckworth, skipping
2025-04-29 12:17:54,893 - INFO - Twitter already set for Deb Fischer: SenatorFischer, skipping
2025-04-29 12:17:54,894 - INFO - Twitter already set for Jared Huffman: RepHuffman, skipping
2025-04-29 12:17:54,894 - INFO - Twitter already set for Andy Harris: RepAndyHarrisMD, skipping
2025-04-29 12:17:54,895 - INFO - Twitter already set for Scott H. Peters: RepScottPeters, skipping
2025-04-29 12:17:54,895 - INFO - Twitter already set for Joaquin Castro: JoaquinCastrotx, skipping
2025-04-29 12:17:54,896 - INFO - Twitter already set for Bill Cassidy: SenBillCassidy, skipping
2025-04-29 12:17:54,896 - INFO - Twitter already set for Brett Guthrie: RepGuthrie, skipping
2025-04-29 12:17:54,897 - INFO - Twitter already set for Doug LaMalfa: RepLaMalfa, skipping
2025-04-29 12:17:54,897 - INFO - Twitter already set for Kathy Castor: USRepKCastor, skipping
2025-04-29 12:17:54,897 - INFO - Twitter already set for Amy Klobuchar: SenAmyKlobuchar, skipping
2025-04-29 12:17:54,898 - INFO - Twitter already set for Mark Pocan: RepMarkPocan, skipping
2025-04-29 12:17:54,898 - INFO - Twitter already set for Juan Vargas: RepJuanVargas, skipping
2025-04-29 12:17:54,901 - INFO - Updated instagram_handle to 'sentimkaine' for Tim Kaine
2025-04-29 12:17:54,902 - INFO - Updated facebook_url to 'https://www.facebook.com/SenatorKaine' for Tim Kaine
2025-04-29 12:17:54,902 - INFO - Twitter already set for Brian Schatz: SenBrianSchatz, skipping
2025-04-29 12:17:54,903 - INFO - Twitter already set for Julia Brownley: RepBrownley, skipping
2025-04-29 12:17:54,903 - INFO - Twitter already set for Thomas Massie: RepThomasMassie, skipping
2025-04-29 12:17:54,903 - INFO - Twitter already set for Robin L. Kelly: RepRobinKelly, skipping
2025-04-29 12:17:54,904 - INFO - Twitter already set for Kirsten E. Gillibrand: GillibrandNY, skipping
2025-04-29 12:17:54,904 - INFO - Twitter already set for James E. Risch: SenatorRisch, skipping
2025-04-29 12:17:54,904 - INFO - Twitter already set for Joyce Beatty: RepBeatty, skipping
2025-04-29 12:17:54,905 - INFO - Twitter already set for Tina Smith: SenTinaSmith, skipping
2025-04-29 12:17:54,905 - INFO - Twitter already set for Jason Smith: RepJasonSmith, skipping
2025-04-29 12:17:54,906 - INFO - Updated instagram_handle to 'repchrissmith' for Christopher H. Smith
2025-04-29 12:17:54,906 - INFO - Updated facebook_url to 'https://www.facebook.com/RepChrisSmith' for Christopher H. Smith
2025-04-29 12:17:54,907 - INFO - Twitter already set for Christopher Murphy: SenMurphyOffice, skipping
2025-04-29 12:17:54,907 - INFO - Twitter already set for Cory A. Booker: SenBooker, skipping
2025-04-29 12:17:54,908 - INFO - Twitter already set for Katherine M. Clark: RepKClark, skipping
2025-04-29 12:17:54,908 - INFO - Twitter already set for Dan Newhouse: RepNewhouse, skipping
2025-04-29 12:17:54,908 - INFO - Twitter already set for Barry Loudermilk: RepLoudermilk, skipping
2025-04-29 12:17:54,909 - INFO - Twitter already set for Earl L. "Buddy" Carter: RepBuddyCarter, skipping
2025-04-29 12:17:54,909 - INFO - Twitter already set for Mike Bost: RepBost, skipping
2025-04-29 12:17:54,909 - INFO - Twitter already set for Alma S. Adams: RepAdams, skipping
2025-04-29 12:17:54,910 - INFO - Twitter already set for John R. Moolenaar: RepMoolenaar, skipping
2025-04-29 12:17:54,910 - INFO - Twitter already set for Elise M. Stefanik: RepStefanik, skipping
2025-04-29 12:17:54,911 - INFO - Twitter already set for David Rouzer: RepDavidRouzer, skipping
2025-04-29 12:17:54,911 - INFO - Twitter already set for Gary J. Palmer: USRepGaryPalmer, skipping
2025-04-29 12:17:54,911 - INFO - Twitter already set for Tom Emmer: RepTomEmmer, skipping
2025-04-29 12:17:54,912 - INFO - Twitter already set for Bruce Westerman: RepWesterman, skipping
2025-04-29 12:17:54,912 - INFO - Twitter already set for J. French Hill: RepFrenchHill, skipping
2025-04-29 12:17:54,912 - INFO - Twitter already set for Brian Babin: RepBrianBabin, skipping
2025-04-29 12:17:54,912 - INFO - Twitter already set for Debbie Dingell: RepDebDingell, skipping
2025-04-29 12:17:54,913 - INFO - Twitter already set for Norma J. Torres: NormaJTorres, skipping
2025-04-29 12:17:54,913 - INFO - Twitter already set for Dan Sullivan: SenDanSullivan, skipping
2025-04-29 12:17:54,913 - INFO - Twitter already set for Rick W. Allen: RepRickAllen, skipping
2025-04-29 12:17:54,913 - INFO - Twitter already set for Mike Rounds: SenatorRounds, skipping
2025-04-29 12:17:54,914 - INFO - Twitter already set for Brendan F. Boyle: CongBoyle, skipping
2025-04-29 12:17:54,914 - INFO - Twitter already set for Pete Aguilar: RepPeteAguilar, skipping
2025-04-29 12:17:54,914 - INFO - Twitter already set for Ruben Gallego: RepRubenGallego, skipping
2025-04-29 12:17:54,914 - INFO - Twitter already set for Stacey E. Plaskett: StaceyPlaskett, skipping
2025-04-29 12:17:54,915 - INFO - Twitter already set for Bonnie Watson Coleman: RepBonnie, skipping
2025-04-29 12:17:54,915 - INFO - Twitter already set for Ted Lieu: RepTedLieu, skipping
2025-04-29 12:17:54,916 - INFO - Twitter already set for Mark DeSaulnier: RepDeSaulnier, skipping
2025-04-29 12:17:54,917 - INFO - Twitter already set for Seth Moulton: RepMoulton, skipping
2025-04-29 12:17:54,917 - INFO - Twitter already set for Donald S. Beyer, Jr.: RepDonBeyer, skipping
2025-04-29 12:17:54,918 - INFO - Twitter already set for Glenn Grothman: RepGrothman, skipping
2025-04-29 12:17:54,918 - INFO - Twitter already set for Donald Norcross: DonaldNorcross, skipping
2025-04-29 12:17:54,919 - INFO - Twitter already set for Trent Kelly: RepTrentKelly, skipping
2025-04-29 12:17:54,919 - INFO - Twitter already set for Darin LaHood: RepLaHood, skipping
2025-04-29 12:17:54,919 - INFO - Twitter already set for Jim Banks: RepJimBanks, skipping
2025-04-29 12:17:54,920 - INFO - Twitter already set for Lisa Blunt Rochester: RepLBR, skipping
2025-04-29 12:17:54,920 - INFO - Twitter already set for Jamie Raskin: RepRaskin, skipping
2025-04-29 12:17:54,920 - INFO - Twitter already set for Jimmy Panetta: RepJimmyPanetta, skipping
2025-04-29 12:17:54,921 - INFO - Twitter already set for Neal P. Dunn: DrNealDunnFL2, skipping
2025-04-29 12:17:54,921 - INFO - Twitter already set for Nanette Diaz Barragán: RepBarragan, skipping
2025-04-29 12:17:54,921 - INFO - Twitter already set for Andy Biggs: RepAndyBiggsAZ, skipping
2025-04-29 12:17:54,922 - INFO - Twitter already set for Brian J. Mast: RepBrianMast, skipping
2025-04-29 12:17:54,922 - INFO - Twitter already set for Warren Davidson: WarrenDavidson, skipping
2025-04-29 12:17:54,923 - INFO - Twitter already set for Vicente Gonzalez: RepGonzalez, skipping
2025-04-29 12:17:54,923 - INFO - Twitter already set for Josh Gottheimer: RepJoshG, skipping
2025-04-29 12:17:54,923 - INFO - Twitter already set for Catherine Cortez Masto: SenCortezMasto, skipping
2025-04-29 12:17:54,924 - INFO - Twitter already set for Ro Khanna: RepRoKhanna, skipping
2025-04-29 12:17:54,924 - INFO - Twitter already set for Jodey C. Arrington: RepArrington, skipping
2025-04-29 12:17:54,924 - INFO - Twitter already set for Salud O. Carbajal: RepCarbajal, skipping
2025-04-29 12:17:54,925 - INFO - Twitter already set for Bradley Scott Schneider: RepSchneider, skipping
2025-04-29 12:17:54,925 - INFO - Twitter already set for Ted Budd: RepTedBudd, skipping
2025-04-29 12:17:54,925 - INFO - Twitter already set for Pramila Jayapal: RepJayapal, skipping
2025-04-29 12:17:54,925 - INFO - Twitter already set for Brian K. Fitzpatrick: RepBrianFitz, skipping
2025-04-29 12:17:54,926 - INFO - Twitter already set for John Kennedy: SenJohnKennedy, skipping
2025-04-29 12:17:54,926 - INFO - Twitter already set for Raja Krishnamoorthi: CongressmanRaja, skipping
2025-04-29 12:17:54,926 - INFO - Twitter already set for Margaret Wood Hassan: SenatorHassan, skipping
2025-04-29 12:17:54,926 - INFO - Twitter already set for Adriano Espaillat: RepEspaillat, skipping
2025-04-29 12:17:54,927 - INFO - Twitter already set for David Kustoff: RepDavidKustoff, skipping
2025-04-29 12:17:54,927 - INFO - Twitter already set for Darren Soto: RepDarrenSoto, skipping
2025-04-29 12:17:54,927 - INFO - Twitter already set for Jack Bergman: RepJackBergman, skipping
2025-04-29 12:17:54,928 - INFO - Twitter already set for James Comer: RepJamesComer, skipping
2025-04-29 12:17:54,928 - INFO - Twitter already set for Roger Marshall: SenatorMarshall, skipping
2025-04-29 12:17:54,928 - INFO - Twitter already set for Dwight Evans: RepDwightEvans, skipping
2025-04-29 12:17:54,928 - INFO - Twitter already set for John H. Rutherford: RepRutherfordFL, skipping
2025-04-29 12:17:54,929 - INFO - Twitter already set for Mike Johnson: RepMikeJohnson, skipping
2025-04-29 12:17:54,929 - INFO - Twitter already set for Jacky Rosen: SenJackyRosen, skipping
2025-04-29 12:17:54,929 - INFO - Twitter already set for J. Luis Correa: RepLouCorrea, skipping
2025-04-29 12:17:54,930 - INFO - Twitter already set for Don Bacon: RepDonBacon, skipping
2025-04-29 12:17:54,930 - INFO - Twitter already set for Lloyd Smucker: RepSmucker, skipping
2025-04-29 12:17:54,930 - INFO - Twitter already set for Clay Higgins: RepClayHiggins, skipping
2025-04-29 12:17:54,930 - INFO - Twitter already set for Ron Estes: RepRonEstes, skipping
2025-04-29 12:17:54,931 - INFO - Twitter already set for Jimmy Gomez: RepJimmyGomez, skipping
2025-04-29 12:17:54,931 - INFO - Twitter already set for Ralph Norman: RepRalphNorman, skipping
2025-04-29 12:17:54,931 - INFO - Twitter already set for John R. Curtis: RepJohnCurtis, skipping
2025-04-29 12:17:54,931 - INFO - Twitter already set for Cindy Hyde-Smith: SenHydeSmith, skipping
2025-04-29 12:17:54,932 - INFO - Twitter already set for Michael Cloud: RepCloudTX, skipping
2025-04-29 12:17:54,933 - INFO - Twitter already set for Pete Stauber: RepPeteStauber, skipping
2025-04-29 12:17:54,933 - INFO - Twitter already set for Troy Balderson: RepBalderson, skipping
2025-04-29 12:17:54,934 - INFO - Twitter already set for Ben Cline: RepBenCline, skipping
2025-04-29 12:17:54,934 - INFO - Twitter already set for Steven Horsford: RepHorsford, skipping
2025-04-29 12:17:54,935 - INFO - Twitter already set for Kevin Hern: repkevinhern, skipping
2025-04-29 12:17:54,935 - INFO - Twitter already set for Mike Levin: RepMikeLevin, skipping
2025-04-29 12:17:54,936 - INFO - Twitter already set for Joseph D. Morelle: RepJoeMorelle, skipping
2025-04-29 12:17:54,936 - INFO - Twitter already set for Joe Neguse: RepJoeNeguse, skipping
2025-04-29 12:17:54,936 - INFO - Twitter already set for Bryan Steil: RepBryanSteil, skipping
2025-04-29 12:17:54,937 - INFO - Twitter already set for Tim Burchett: RepTimBurchett, skipping
2025-04-29 12:17:54,937 - INFO - Twitter already set for Angie Craig: RepAngieCraig, skipping
2025-04-29 12:17:54,937 - INFO - Twitter already set for Dan Crenshaw: RepDanCrenshaw, skipping
2025-04-29 12:17:54,938 - INFO - Twitter already set for Jason Crow: RepJasonCrow, skipping
2025-04-29 12:17:54,938 - INFO - Twitter already set for Sharice Davids: RepDavids, skipping
2025-04-29 12:17:54,938 - INFO - Twitter already set for Veronica Escobar: RepEscobar, skipping
2025-04-29 12:17:54,938 - INFO - Twitter already set for Lizzie Fletcher: RepFletcher, skipping
2025-04-29 12:17:54,939 - INFO - Twitter already set for Russ Fulcher: RepRussFulcher, skipping
2025-04-29 12:17:54,939 - INFO - Twitter already set for Sylvia R. Garcia: RepSylviaGarcia, skipping
2025-04-29 12:17:54,939 - INFO - Twitter already set for Mark E. Green: RepMarkGreen, skipping
